target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
O75676_WT	Mean	-		0.3972035184260605	0.8539855072463768	0.6786842105263158	0.9473684210526315	0.41	0.8863004018610425	0.5333333333333333	0.9141597236334078	0.18986842105263155	0.8101315789473684
O75676_WT	SD	-		0.22969529784904325	0.033430335648851964	0.1097098077684532	0.042973504259354	0.24562844569254053	0.03752139799579172	0.2950204010522612	0.018927833854362756	0.058582931249597035	0.05858293124959703
O75676_WT	Test set	9:31		0.0	0.775	0.5	1.0	0.0	0.775	0.0	0.8732394366197184	0.6272401433691757	0.37275985663082434
O75582_WT		4:18	Not enough data in minority class of the training set for all 5 folds										
O75582_WT	Fold 1	19:101		0.4950999222006294	0.8833333333333333	0.6956748306409588	0.9702970297029703	0.42105263157894735	0.8990825688073395	0.7272727272727273	0.9333333333333333	0.1380927566440855	0.8619072433559145
O75582_WT	Fold 2	18:101		0.5888606778449494	0.907563025210084	0.7172717271727173	0.9900990099009901	0.4444444444444444	0.9090909090909091	0.8888888888888888	0.947867298578199	0.14081408140814083	0.8591859185918592
O75582_WT	Fold 3	19:100		0.5397196900492485	0.8907563025210085	0.7218421052631578	0.97	0.47368421052631576	0.9065420560747663	0.75	0.9371980676328503	0.128421052631579	0.871578947368421
O75582_WT	Fold 4	19:100		0.5737494008518429	0.8991596638655462	0.7268421052631578	0.98	0.47368421052631576	0.9074074074074074	0.8181818181818182	0.9423076923076924	0.12789473684210526	0.8721052631578948
O75582_WT	Fold 5	19:100		0.47603764778141566	0.8823529411764706	0.6528947368421052	0.99	0.3157894736842105	0.8839285714285714	0.8571428571428571	0.9339622641509434	0.1673684210526316	0.8326315789473685
O75582_WT	Mean	-		0.5346934677456172	0.8926330532212884	0.7029051010364193	0.980079207920792	0.42573099415204674	0.9012103025617988	0.8082972582972582	0.9389337312006036	0.14051820971570844	0.8594817902842916
O75582_WT	SD	-		0.03977618537073941	0.008767253436580538	0.0248035736128687	0.008125128348645294	0.0533201652633504	0.008486471048559091	0.05618741395964772	0.005004742893166311	0.013118673004583735	0.01311867300458371
O75582_WT	Test set	4:18		-0.10286889997472794	0.7727272727272727	0.4722222222222222	0.9444444444444444	0.0	0.8095238095238095	0.0	0.8717948717948718	0.3611111111111111	0.6388888888888888
O60674_WT	Fold 1	54:210		0.5828340790444255	0.875	0.7563492063492063	0.9571428571428572	0.5555555555555556	0.8933333333333333	0.7692307692307693	0.9241379310344828	0.11763668430335097	0.882363315696649
O60674_WT	Fold 2	54:210		0.65	0.8939393939393939	0.788888888888889	0.9666666666666667	0.6111111111111112	0.90625	0.825	0.9354838709677419	0.11410934744268078	0.8858906525573192
O60674_WT	Fold 3	55:209		0.597068497154651	0.8787878787878788	0.7492822966507177	0.9712918660287081	0.5272727272727272	0.8864628820960698	0.8285714285714286	0.9269406392694063	0.0889952153110048	0.9110047846889952
O60674_WT	Fold 4	55:209		0.734817488338423	0.9166666666666666	0.8401913875598086	0.9712918660287081	0.7090909090909091	0.9269406392694064	0.8666666666666667	0.9485981308411214	0.0775989560678556	0.9224010439321444
O60674_WT	Fold 5	55:209		0.6215080790311582	0.8825757575757576	0.7851674641148325	0.9521531100478469	0.6181818181818182	0.9045454545454545	0.7727272727272727	0.9277389277389277	0.10282731622444541	0.8971726837755545
O60674_WT	Mean	-		0.6372456287137316	0.8893939393939394	0.7839758487126908	0.9637092731829574	0.6042424242424242	0.9035064618488529	0.8124392274392275	0.9325798999703361	0.10023350386986751	0.8997664961301325
O60674_WT	SD	-		0.04916880936337412	0.013727250429219063	0.02930477390536704	0.00707578418225757	0.057051783162112214	0.01259459760751361	0.03367156637692819	0.008077952305460668	0.013788639469518332	0.013788639469518315
O60674_WT	Test set	1669:650		0.11543915813351814	0.4320827943078913	0.5551997972069871	0.8353846153846154	0.2750149790293589	0.3097547062179121	0.8109540636042403	0.45193508114856423	0.3981582707286722	0.6018417292713278
O60285_WT	Fold 1	6:17		0.8871510790372951	0.9565217391304348	0.9166666666666667	1.0	0.8333333333333334	0.9444444444444444	1.0	0.9714285714285714	0.02941176470588235	0.9705882352941176
O60285_WT	Fold 2	6:17		0.7409585736349484	0.8695652173913043	0.9117647058823529	0.8235294117647058	1.0	1.0	0.6666666666666666	0.9032258064516129	0.06862745098039216	0.9313725490196079
O60285_WT	Fold 3	6:17		0.6519202405202649	0.8695652173913043	0.75	1.0	0.5	0.85	1.0	0.9189189189189189	0.19607843137254904	0.803921568627451
O60285_WT	Fold 4	6:17		0.4070457892053471	0.782608695652174	0.6911764705882353	0.8823529411764706	0.5	0.8333333333333334	0.6	0.8571428571428571	0.3137254901960784	0.6862745098039216
O60285_WT	Fold 5	5:17		0.8692269873603532	0.9545454545454546	0.9	1.0	0.8	0.9444444444444444	1.0	0.9714285714285714	0.0	1.0
O60285_WT	Mean	-		0.7112605339516417	0.8865612648221344	0.833921568627451	0.9411764705882352	0.7266666666666668	0.9144444444444444	0.8533333333333333	0.9244289450741062	0.1215686274509804	0.8784313725490197
O60285_WT	SD	-		0.15960406174847244	0.059020033196867744	0.08630532723513158	0.06792356108113246	0.17991767664787797	0.05752079602464348	0.16510378329783743	0.03963433036246478	0.10688822625987479	0.10688822625987479
O60285_WT	Test set	25:79		-0.013082246079487641	0.7115384615384616	0.49569620253164554	0.9113924050632911	0.08	0.7578947368421053	0.2222222222222222	0.8275862068965517	0.39999999999999997	0.6
O43781_WT	Fold 1	11:97		0.5085756068368262	0.9259259259259259	0.6766635426429242	0.9896907216494846	0.36363636363636365	0.9320388349514563	0.8	0.9600000000000001	0.21274601686972822	0.7872539831302718
O43781_WT	Fold 2	12:96		0.3986907660368834	0.9074074074074074	0.6197916666666667	0.9895833333333334	0.25	0.9134615384615384	0.75	0.95	0.11631944444444445	0.8836805555555557
O43781_WT	Fold 3	12:96		-0.03417929635123316	0.8796296296296297	0.4947916666666667	0.9895833333333334	0.0	0.8878504672897196	0.0	0.9359605911330049	0.2465277777777778	0.7534722222222222
O43781_WT	Fold 4	12:96		0.5330017908890261	0.9166666666666666	0.734375	0.96875	0.5	0.9393939393939394	0.6666666666666666	0.9538461538461539	0.12413194444444445	0.8758680555555556
O43781_WT	Fold 5	12:96		0.4829621384585608	0.9166666666666666	0.6614583333333334	0.9895833333333334	0.3333333333333333	0.9223300970873787	0.8	0.9547738693467336	0.17838541666666663	0.8216145833333334
O43781_WT	Mean	-		0.37781020117401265	0.9092592592592593	0.6374160418619182	0.985438144329897	0.2893939393939394	0.9190149754368064	0.6033333333333333	0.9509161228651785	0.1756221200406123	0.8243778799593876
O43781_WT	SD	-		0.19253237598354894	0.014542245665913254	0.07322541528371224	0.007617155534900298	0.1511612027384857	0.016319621883230377	0.2789530691976964	0.007421717273898666	0.04579206142799387	0.0457920614279939
O43781_WT	Test set	14:45		0.05225453721073499	0.7457627118644068	0.5134920634920636	0.9555555555555556	0.07142857142857142	0.7678571428571429	0.3333333333333333	0.8514851485148515	0.6857142857142857	0.3142857142857143
O43353_WT	Fold 1	3:11		0.2842676218074806	0.7857142857142857	0.6212121212121212	0.9090909090909091	0.3333333333333333	0.8333333333333334	0.5	0.8695652173913043	0.4242424242424243	0.5757575757575758
O43353_WT	Fold 2	3:11		0.4403855060505443	0.7857142857142857	0.7424242424242424	0.8181818181818182	0.6666666666666666	0.9	0.5	0.8571428571428572	0.09090909090909091	0.9090909090909091
O43353_WT	Fold 3	4:10		0.19364916731037085	0.7142857142857143	0.575	0.9	0.25	0.75	0.5	0.8181818181818182	0.5	0.5
O43353_WT	Fold 4	4:10		0.43852900965351466	0.7857142857142857	0.625	1.0	0.25	0.7692307692307693	1.0	0.8695652173913044	0.35	0.65
O43353_WT	Fold 5	4:10		0.6454972243679028	0.8571428571428571	0.75	1.0	0.5	0.8333333333333334	1.0	0.9090909090909091	0.375	0.625
O43353_WT	Mean	-		0.40046570583796265	0.7857142857142857	0.6627272727272727	0.9254545454545454	0.4	0.8171794871794871	0.7	0.8647092038396387	0.348030303030303	0.651969696969697
O43353_WT	SD	-		0.1410425030267742	0.041239304942116105	0.0643053460678411	0.06263277906794575	0.1475102005261306	0.04863690965649027	0.22360679774997896	0.026579894390077418	0.12632341970789612	0.1263234197078961
O43353_WT	Test set	71:38		-0.04395008875582335	0.3577981651376147	0.48869532987398073	0.9210526315789473	0.056338028169014086	0.3431372549019608	0.5714285714285714	0.4999999999999999	0.39584877687175685	0.6041512231282431
O43293_WT		2:12	Not enough data in minority class of the training set for all 5 folds										
O43293_WT	Fold 1	33:169		0.46371230702008265	0.8712871287128713	0.6914111529496145	0.9585798816568047	0.42424242424242425	0.8950276243093923	0.6666666666666666	0.9257142857142856	0.16711493634570557	0.8328850636542945
O43293_WT	Fold 2	33:169		0.43634750738818356	0.8663366336633663	0.6762596377980994	0.9585798816568047	0.3939393939393939	0.8901098901098901	0.65	0.923076923076923	0.17070109377801684	0.8292989062219831
O43293_WT	Fold 3	34:168		0.44668720701086784	0.8712871287128713	0.6411064425770309	0.9880952380952381	0.29411764705882354	0.8736842105263158	0.8333333333333334	0.9273743016759777	0.14180672268907563	0.8581932773109244
O43293_WT	Fold 4	34:168		0.5153746715867524	0.8811881188118812	0.7057072829131652	0.9702380952380952	0.4411764705882353	0.8956043956043956	0.75	0.9314285714285715	0.1477591036414566	0.8522408963585434
O43293_WT	Fold 5	33:168		0.5256843105927613	0.8855721393034826	0.7123917748917749	0.9702380952380952	0.45454545454545453	0.9005524861878453	0.75	0.9340974212034384	0.1403318903318903	0.8596681096681097
O43293_WT	Mean	-		0.4775612007197296	0.8751342298408945	0.6853752582259369	0.9691462383770076	0.40160427807486626	0.8909957213475679	0.73	0.9283383006198394	0.15354274935722897	0.8464572506427711
O43293_WT	SD	-		0.03313924195755626	0.006488420433145406	0.023175195074670234	0.009872053837380728	0.052429855591857144	0.008458732943014684	0.060399901888563944	0.003610495935583168	0.011721239402761596	0.011721239402761608
O43293_WT	Test set	2:12		0.0	0.8571428571428571	0.5	1.0	0.0	0.8571428571428571	0.0	0.923076923076923	0.4583333333333333	0.5416666666666667
O15530_WT	Fold 1	22:149		0.6311718415026457	0.9239766081871345	0.7820317266625991	0.9731543624161074	0.5909090909090909	0.9415584415584416	0.7647058823529411	0.9570957095709572	0.08511287370347771	0.9148871262965222
O15530_WT	Fold 2	22:149		0.5351833887328923	0.9122807017543859	0.6784624771201953	0.9932885906040269	0.36363636363636365	0.9135802469135802	0.8888888888888888	0.9517684887459807	0.1595485051860891	0.8404514948139109
O15530_WT	Fold 3	21:149		0.4826099322983788	0.9058823529411765	0.6804090763822308	0.9798657718120806	0.38095238095238093	0.9182389937106918	0.7272727272727273	0.9480519480519481	0.14637264301693834	0.8536273569830617
O15530_WT	Fold 4	22:148		0.6822087693891413	0.9352941176470588	0.75	1.0	0.5	0.9308176100628931	1.0	0.9641693811074918	0.048525798525798525	0.9514742014742015
O15530_WT	Fold 5	22:148		0.6495003247502436	0.9294117647058824	0.7659705159705159	0.9864864864864865	0.5454545454545454	0.9358974358974359	0.8571428571428571	0.9605263157894737	0.11947174447174447	0.8805282555282556
O15530_WT	Mean	-		0.5961348513346604	0.9213691090471275	0.7313747592271083	0.9865590422637404	0.47619047619047616	0.9280185456286085	0.8476020711314828	0.9563223686531703	0.11180631298080963	0.8881936870191904
O15530_WT	SD	-		0.0684192612227962	0.009898046845401456	0.03980599777643186	0.00866445556309976	0.08191813832055793	0.009637985274127804	0.08791253773793964	0.005306984568918882	0.03708070059302663	0.037080700593026615
O15530_WT	Test set	317:175		0.05433046195304267	0.37601626016260165	0.5106534474988733	0.9771428571428571	0.04416403785488959	0.36075949367088606	0.7777777777777778	0.5269645608628659	0.2865434880576836	0.7134565119423163
O15264_WT		0:11	Only one activity class in traing set for temporal split at 2013										
O15146_WT	Fold 1	3:8		0.0	0.7272727272727273	0.5	1.0	0.0	0.7272727272727273	0.0	0.8421052631578948	0.3333333333333333	0.6666666666666666
O15146_WT	Fold 2	3:8		0.5163977794943222	0.8181818181818182	0.6666666666666666	1.0	0.3333333333333333	0.8	1.0	0.888888888888889	0.5	0.5
O15146_WT	Fold 3	3:8		0.08333333333333333	0.6363636363636364	0.5416666666666666	0.75	0.3333333333333333	0.75	0.3333333333333333	0.75	0.3333333333333333	0.6666666666666667
O15146_WT	Fold 4	2:8		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
O15146_WT	Fold 5	3:7		0.0	0.7	0.5	1.0	0.0	0.7	0.0	0.8235294117647058	0.8095238095238095	0.1904761904761905
O15146_WT	Mean	-		0.31994622256553107	0.7763636363636364	0.6416666666666666	0.95	0.3333333333333333	0.7954545454545455	0.4666666666666666	0.860904712762298	0.3952380952380952	0.6047619047619047
O15146_WT	SD	-		0.35631989008973125	0.11518340866137795	0.17280367794439766	0.09128709291752768	0.33333333333333337	0.09805266477189963	0.4127594582445936	0.07547714973001192	0.24030718562254683	0.24030718562254683
O15146_WT	Test set	13:52		-0.15944820103582016	0.7076923076923077	0.4423076923076923	0.8846153846153846	0.0	0.7796610169491526	0.0	0.8288288288288288	0.4674556213017751	0.5325443786982249
O15111_WT	Fold 1	6:88		0.3971222647875137	0.9468085106382979	0.5833333333333334	1.0	0.16666666666666666	0.946236559139785	1.0	0.9723756906077349	0.3693181818181819	0.6306818181818181
O15111_WT	Fold 2	6:88		0.5646597025732799	0.9574468085106383	0.6666666666666666	1.0	0.3333333333333333	0.9565217391304348	1.0	0.9777777777777777	0.33522727272727276	0.6647727272727273
O15111_WT	Fold 3	6:88		-0.027076518053694116	0.925531914893617	0.4943181818181818	0.9886363636363636	0.0	0.9354838709677419	0.0	0.9613259668508287	0.21590909090909088	0.7840909090909092
O15111_WT	Fold 4	5:88		-0.03533767463701098	0.9247311827956989	0.48863636363636365	0.9772727272727273	0.0	0.945054945054945	0.0	0.9608938547486033	0.2818181818181818	0.7181818181818181
O15111_WT	Fold 5	5:88		-0.024851336640235755	0.9354838709677419	0.4943181818181818	0.9886363636363636	0.0	0.9456521739130435	0.0	0.9666666666666666	0.2568181818181818	0.7431818181818182
O15111_WT	Mean	-		0.17490328760597057	0.9380004575611988	0.5454545454545454	0.9909090909090909	0.1	0.94578985764119	0.4	0.9678079913303221	0.2918181818181818	0.7081818181818182
O15111_WT	SD	-		0.23316315848017044	0.011500824473313288	0.06401216298086503	0.0077628414893633245	0.12171612389003691	0.006084751941804341	0.4472135954999579	0.005935557633281378	0.04996296838025534	0.04996296838025533
O15111_WT	Test set	13:57		0.0	0.8142857142857143	0.5	1.0	0.0	0.8142857142857143	0.0	0.8976377952755905	0.4197031039136302	0.5802968960863697
O15075_WT		10:0	Only one activity class in traing set for temporal split at 2013										
O14757_WT	Fold 1	112:260		0.706150071348307	0.8790322580645161	0.8423076923076923	0.9346153846153846	0.75	0.8966789667896679	0.8316831683168316	0.9152542372881356	0.062053571428571444	0.9379464285714286
O14757_WT	Fold 2	113:259		0.7584993337205727	0.8978494623655914	0.8792496668602863	0.9266409266409267	0.831858407079646	0.9266409266409267	0.831858407079646	0.9266409266409267	0.047220418901834836	0.9527795810981652
O14757_WT	Fold 3	113:259		0.7541199893421666	0.8951612903225806	0.8798134417603445	0.918918918918919	0.8407079646017699	0.9296875	0.8189655172413793	0.9242718446601942	0.04014760651928794	0.959852393480712
O14757_WT	Fold 4	113:259		0.7732903456163511	0.9059139784946236	0.875064065329552	0.9536679536679536	0.7964601769911505	0.9148148148148149	0.8823529411764706	0.9338374291115311	0.048006286944340046	0.9519937130556599
O14757_WT	Fold 5	113:259		0.7355575241583162	0.8897849462365591	0.8609867769159805	0.9343629343629344	0.7876106194690266	0.9097744360902256	0.839622641509434	0.9219047619047618	0.06058017562442343	0.9394198243755766
O14757_WT	Mean	-		0.7455234528371426	0.8935483870967742	0.8674843286347711	0.9336412236412237	0.8013274336283185	0.9155193288671271	0.8408965350647524	0.9243818399211099	0.051601611883691535	0.9483983881163086
O14757_WT	SD	-		0.021066787302497725	0.008153629509732844	0.013063714488807701	0.010553752776158984	0.029803000912544238	0.010900201730322258	0.019865379598545924	0.005537339674543507	0.007672173936003745	0.007672173936003727
O14757_WT	Test set	234:94		0.2278767115867204	0.4603658536585366	0.6027004909983633	0.9361702127659575	0.2692307692307692	0.33976833976833976	0.9130434782608695	0.4985835694050991	0.33365157301327514	0.6663484269867249
O14730_WT		7:51	No test data for temporal split at 2013										
O14578_WT		5:16	Not enough data in minority class of the training set for all 5 folds										
O14578_WT	Fold 1	2:10		0.25819888974716115	0.75	0.65	0.8	0.5	0.8888888888888888	0.3333333333333333	0.8421052631578948	0.45	0.55
O14578_WT	Fold 2	3:9		-0.17407765595569785	0.6666666666666666	0.4444444444444444	0.8888888888888888	0.0	0.7272727272727273	0.0	0.7999999999999999	0.4814814814814815	0.5185185185185186
O14578_WT	Fold 3	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.38888888888888884	0.6111111111111112
O14578_WT	Fold 4	2:9		-0.2222222222222222	0.6363636363636364	0.3888888888888889	0.7777777777777778	0.0	0.7777777777777778	0.0	0.7777777777777778	0.3333333333333333	0.6666666666666667
O14578_WT	Fold 5	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.7777777777777778	0.2222222222222222
O14578_WT	Mean	-		-0.02762019768615178	0.7378787878787879	0.4966666666666667	0.8933333333333333	0.1	0.806060606060606	0.06666666666666667	0.8439766081871346	0.48629629629629634	0.5137037037037038
O14578_WT	SD	-		0.15413091644116977	0.0688241349741744	0.07945286150697213	0.086447967175675	0.1825741858350554	0.048582953496101686	0.12171612389003691	0.04582024663083936	0.14094202630243058	0.14094202630243058
